Community,Species,Video file name,Camera trap name,Days since camera trap was installed,Classifier,Date (mm/dd/yy),Time (hh:mm),# individuals,Primary Behavior (what behavior they exhibited the most),Notes
B,Sciurus carolinensis,E3_IMG_0026,E3,4,Arias Deukmedjian,10/11/25,18:10,1,Running,
B,Odocoileus virginianus,E3_IMG_0084,E3,10,Aylin Ceylan,10/17/25,13:56,1,Walking,has antlers
A,Odocoileus virginianus,E3_IMG_0059,E4,12,Cooper Koers,10/19/25,0:38,1,Walking,
B,Odocoileus virginianus,E3_IMG_0028,E3,5,Arias Deukmedjian,10/12/25,6:16,2,Walking,
B,Tamias striatus,E1_IMG_0016,E1,10,Annalisa Jenkins,10/17/25,8:31,1,Running,
A,Sciurus carolinensis,E6_IMG_0021,E4,5,Cevina Hwang,10/12/25,9:04,1,Running,
B,Odocoileus virginianus,E3_IMG_0030,E3,5,Arias Deukmedjian,10/12/25,17:35,2,Walking,
A,Sciurus carolinensis,E6_IMG_0056,E4,10,Cooper Koers,10/17/25,18:03,3,Running,
B,Odocoileus virginianus,E3_IMG_0031,E3,7,Arias Deukmedjian,10/12/25,17:54,1,Walking,
B,Sciurus carolinensis,E3_IMG_0085,E3,10,Aylin Ceylan,10/17/25,15:29,2,Running,one squirrel chasing the other up a tree
B,Sciurus carolinensis,E1_IMG_0016,E1,10,Annalisa Jenkins,10/17/25,8:31,1,Walking,
B,Odocoileus virginianus,E3_IMG_0057,E3,7,Nikki Lin,10/14/25,18:44,1,Walking,
B,Vulpes vulpes,E3_IMG_0058,E3,8,Nikki Lin,10/15/25,2:26,1,Running,
B,Odocoileus virginianus,E3_IMG_0032,E3,5,Arias Deukmedjian,10/12/25,20:40,1,Walking,
A,Odocoileus virginianus,E6_20,E4,4,Talia Schenck,10/11/25,14:09,1,Foraging,antlers. male. dark/night
A,Odocoileus virginianus,E6_23,E4,6,Talia Schenck,10/13/25,1:22,1,Walking,antlers. male. dark/night
A,Odocoileus virginianus,E6_24,E4,6,Talia Schenck,10/13/25,8:47,1,Walking,antlers. male. light/day
B,Odocoileus virginianus,E3_IMG_0033,E3,6,Arias Deukmedjian,10/13/25,1:21,1,Walking,
A,Odocoileus virginianus,E6_IMG_0052,E4,10,Cooper Koers,10/17/25,1:02,1,Foraging,male
B,Sciurus carolinensis,E1_IMG_0017,E1,10,Annalisa Jenkins,10/17/25,13:09,1,Walking,
A,Odocoileus virginianus,E6_27,E4,6,Talia Schenck,10/13/25,14:23,1,Walking,dark/night. can't sex it
B,Odocoileus virginianus,E3_IMG_0034,E3,6,Arias Deukmedjian,10/13/25,4:12,1,Walking,
B,Odocoileus virginianus,E3_IMG_0035,E3,6,Arias Deukmedjian,10/13/25,4:14,1,Running,
B,Odocoileus virginianus,E3_IMG_0036,E3,6,Arias Deukmedjian,10/13/25,12:53,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0086,E3,10,Aylin Ceylan,10/17/25,18:11,1,Walking,
B,Vulpes vulpes,E3_IMG_0059,E3,8,Nikki Lin,10/15/25,2:32,1,Running,
B,Odocoileus virginianus,E3_IMG_0060,E3,8,Nikki Lin,10/15/25,5:33,1,Walking,
B,Odocoileus virginianus,E1_IMG_0020,E1,12,Annalisa Jenkins,10/19/25,6:09,4,Walking,
B,Odocoileus virginianus,E3_IMG_0038,E3,6,Arias Deukmedjian,10/13/25,15:01,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0037,E3,6,Arias Deukmedjian,10/13/25,14:25,1,Walking,
B,Sciurus carolinensis,E3_IMG_0088,E3,11,Aylin Ceylan,10/18/25,11:35,1,Running,
B,Odocoileus virginianus,E3_IMG_0061,E3,8,Nikki Lin,10/15/25,13:22,2,Foraging,
B,Odocoileus virginianus,E3_IMG_0062,E3,8,Nikki Lin,10/15/25,13:23,2,Resting,
B,Odocoileus virginianus,E3_IMG_0063,E3,8,Nikki Lin,10/15/25,13:25,3,Resting,
B,Procyon lotor,E3_IMG_0089,E3,11,Aylin Ceylan,10/18/25,21:26,1,Walking,
B,Odocoileus virginianus,E3_IMG_0039,E3,6,Arias Deukmedjian,10/13/25,15:04,3,Resting,
B,Odocoileus virginianus,E3_IMG_0003,E3,0,Annalisa Jenkins,10/7/25,23:49,3,Walking,"Mama deer standing there, staring at the camera, baby deer runs up and starts nursing, third deer walks in"
B,Odocoileus virginianus,E3_IMG_0040,E3,6,Arias Deukmedjian,10/13/25,15:08,2,Resting,
B,Odocoileus virginianus,E3_IMG_0064,E3,8,Nikki Lin,10/15/25,13:29,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0065,E3,8,Nikki Lin,10/15/25,14:34,1,Walking,
B,Odocoileus virginianus,E3_IMG_0041,E3,6,Arias Deukmedjian,10/13/25,17:59,1,Walking,
B,Odocoileus virginianus,E3_IMG_0091,E3,12,Aylin Ceylan,10/19/25,12:35,1,Walking,has antlers
B,Odocoileus virginianus,E3_IMG_0005,E3,1,Annalisa Jenkins,10/8/25,4:23,1,Walking,
B,Odocoileus virginianus,E3_IMG_0066,E3,8,Nikki Lin,10/15/25,17:23,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0042,E3,6,Arias Deukmedjian,10/13/25,18:18,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0044,E3,7,Arias Deukmedjian,10/14/25,5:58,1,Running,
B,Odocoileus virginianus,E3_IMG_0092,E3,12,Aylin Ceylan,10/19/25,12:37,1,Walking,
B,Odocoileus virginianus,E3_IMG_0007,E3,1,Annalisa Jenkins,10/8/25,5:59,2,Walking,"1 adult, one looked juvenile"
B,Odocoileus virginianus,E3_IMG_0064,E3,9,Nikki Lin,10/16/25,2:36,1,Walking,
B,Odocoileus virginianus,E3_IMG_0045,E3,8,Arias Deukmedjian,10/14/25,6:01,1,Foraging,
B,Odocoileus virginianus,,E3,1,Annalisa Jenkins,10/8/25,9:27,1,Resting,
B,Vulpes vulpes,E3_IMG_0093,E3,12,Aylin Ceylan,10/19/25,2:33,1,Running,"blurry video, not clear if its a fox, ran too fast"
B,Odocoileus virginianus,E3_IMG_0069,E3,9,Nikki Lin,10/16/25,4:36,1,Resting,Just standing in front of the camera (only rear visible)
B,Odocoileus virginianus,E3_IMG_0070,E3,9,Nikki Lin,10/16/25,4:38,1,Resting,Just standing in front of the camera (only rear visible)
B,Odocoileus virginianus,E3_IMG_0094,E3,12,Aylin Ceylan,10/19/25,5:49,1,Walking,deer walking very close to camera
B,Odocoileus virginianus,E3_IMG_0071,E3,9,Nikki Lin,10/16/25,4:39,1,Resting,Just standing in front of the camera (only rear visible)
B,Vulpes vulpes,E3_IMG_0012,E3,2,Annalisa Jenkins,10/9/25,8:11,1,Walking,
B,Odocoileus virginianus,E3_IMG_0072,E3,9,Nikki Lin,10/16/25,4:41,2,Grooming,Grooming
B,Odocoileus virginianus,E3_IMG_0073,E3,9,Nikki Lin,10/16/25,4:42,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0096,E3,12,Aylin Ceylan,10/19/25,7:20,1,Foraging,"first foraging, then resting"
B,Sciurus carolinensis,E3_IMG_0074,E3,9,Nikki Lin,10/16/25,0:49,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0111,E3,13,Arias Deukmedjian,10/20/25,7:35,1,Walking,
B,Odocoileus virginianus,E3_IMG_0097,E3,12,Aylin Ceylan,10/19/25,7:28,1,Resting,"resting, and eating "
B,Odocoileus virginianus,E3_IMG_0109,E3,13,Arias Deukmedjian,10/20/25,7:24,2,Walking,
B,Odocoileus virginianus,E3_IMG_0110,E3,13,Arias Deukmedjian,10/20/25,7:25,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0075,E3,9,Nikki Lin,10/16/25,17:01,1,Walking,
B,Odocoileus virginianus,E3_IMG_0098,E3,12,Aylin Ceylan,10/19/25,7:30,1,Resting,"resting and eating, same deer as 97"
B,Odocoileus virginianus,E3_IMG_0099,E3,12,Aylin Ceylan,10/19/25,7:53,1,Resting,same deer as 97 and 98
B,Odocoileus virginianus,E3_IMG_0108,E3,13,Arias Deukmedjian,10/20/25,2:50,1,Walking,
B,Odocoileus virginianus,E3_IMG_0076,E3,9,Nikki Lin,10/16/25,17:05,1,Walking,
B,Odocoileus virginianus,E3_IMG_0107,E3,13,Arias Deukmedjian,10/20/25,2:24,1,Walking,
B,Odocoileus virginianus,E3_IMG_0077,E3,9,Nikki Lin,10/16/25,18:04,1,Walking,
B,Odocoileus virginianus,E3_IMG_0106,E3,12,Arias Deukmedjian,10/19/25,23:35,1,Walking,
B,Odocoileus virginianus,E3_IMG_0078,E3,9,Nikki Lin,10/16/25,18:49,1,Walking,
B,Odocoileus virginianus,E3_IMG_0100,E3,12,Aylin Ceylan,10/19/25,8:08,1,Resting,"same deer as 97,98,99"
B,Odocoileus virginianus,E3_IMG_0105,E3,12,Arias Deukmedjian,10/19/25,9:15,1,Walking,
B,Odocoileus virginianus,E3_IMG_0101,E3,12,Aylin Ceylan,10/19/25,8:21,1,Resting,"same deer as 97,98,99,100; starts sleeping"
B,Odocoileus virginianus,E3_IMG_0104,E3,12,Arias Deukmedjian,10/19/25,9:13,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0103,E3,12,Arias Deukmedjian,10/19/25,8:33,2,Resting,One resting and then another comes in and starts wildin and the other resting sprints away
B,Odocoileus virginianus,E3_IMG_102,E3,12,Aylin Ceylan,10/19/25,8:24,1,Resting,"same deer as 97,98,99,100,101,102"
B,Sciurus carolinensis,E3_IMG_102,E3,12,Aylin Ceylan,10/19/25,8:24,1,Walking,
B,Odocoileus virginianus,D3_IMG_0009,D3,6,Catherine Ross,10/14/25,17:45,2,Running,chasing after each other
B,Odocoileus virginianus,D3_IMG_0008,D3,6,Catherine Ross,10/14/25,11:25,1,Running,
B,Odocoileus virginianus,D3_IMG_0003,D3,2,Catherine Ross,10/10/25,6:43,1,Resting,Deer was peeing/pooping
B,Vulpes vulpes,D3_IMG_0004,D3,4,Catherine Ross,10/12/25,3:54,1,Walking,Only tail is visible
B,Sciurus carolinensis,D2_IMG_0104,D2,12,Paige Masi,10/20/25,9:12,1,Foraging,Walks off camera with head down 
B,Odocoileus virginianus,D3_IMG_0005,D3,4,Catherine Ross,10/12/25,17:59,1,Foraging,
B,Sciurus carolinensis,D3_IMG_0005,D3,4,Catherine Ross,10/12/25,17:59,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0103,D2,12,Paige Masi,10/20/25,9:03,1,Walking,Not 100% clear that it was a squirrel since can only see part of it but deduced due to time proximity (less than 30 mins before) squirrel was identified by the camera
B,Sciurus carolinensis,D2_IMG_0102,D2,12,Paige Masi,10/20/25,7:34,1,Walking,Black morph
B,Odocoileus virginianus,D3_IMG_0006,D3,5,Catherine Ross,10/13/25,9:03,1,Walking,
B,Odocoileus virginianus,D2_IMG_0101,D2,12,Paige Masi,10/20/25,7:23,3,Walking,"2 walking past in a line, one sitting in back eating"
B,Odocoileus virginianus,D3_IMG_0007,D3,6,Catherine Ross,10/14/25,10:51,1,Running,
B,Odocoileus virginianus,D3_IMG_0010,D3,7,Catherine Ross,10/15/25,17:51,1,Walking,
B,Odocoileus virginianus,D3_IMG_0011,D3,8,Catherine Ross,10/16/25,16:35,1,Vigilant,
B,Odocoileus virginianus,D3_IMG_0012,D3,11,Catherine Ross,10/19/25,6:51,1,Foraging,
B,Odocoileus virginianus,D2_IMG_0099,D2,12,Paige Masi,10/20/25,6:29,1,Foraging,"Can only see chest, likely eating leaves off of the tree"
B,Odocoileus virginianus,D2_IMG_0098,D2,12,Paige Masi,10/20/25,6:28,3,Resting,"2 standing, possibly eating, and one resting"
B,Sciurus carolinensis,D2_IMG_0097,D2,11,Paige Masi,10/19/25,16:00,1,Walking,
A,Odocoileus virginianus,D4_IMG_0032,D4,10,Solomon Williams,10/17/25,13:10,1,Foraging,Deer foraging along forest floor
B,Sciurus carolinensis,D2_IMG_0096,D2,11,Paige Masi,10/19/25,7:12,2,Walking,Climbs tree but then scurries back down 
B,Odocoileus virginianus,D2_IMG_0100,D2,12,Paige Masi,10/20/25,7:20,2,Resting,Assuming the one sitting and eating is the same as in D2_IMG_0101; one walking off camera
B,Odocoileus virginianus,D2_IMG_0094,D2,11,Paige Masi,10/19/25,5:48,1,Foraging,Walking with nose down to soil
B,Odocoileus virginianus,D2_IMG_0093,D2,11,Paige Masi,10/19/25,5:47,1,Walking,
B,Odocoileus virginianus,D2_IMG_0092,D2,11,Paige Masi,10/19/25,0:37,1,Walking,
B,Odocoileus virginianus,D2_IMG_0091,D2,11,Paige Masi,10/19/25,0:35,1,Walking,
B,Odocoileus virginianus,D2_IMG_0090,D2,10,Paige Masi,10/18/25,23:35,1,Walking,
B,Turdus migratorius,D2_IMG_0089,D2,10,Paige Masi,10/18/25,14:05,1,Walking,Was perched and then walked off
B,Didelphis virginiana,D2_IMG_0088,D2,10,Paige Masi,10/18/25,13:42,1,Walking,Very small to see in distance and camouflaged into the leaves but can see outline
B,Sciurus carolinensis,D2_IMG_0087,D2,10,Paige Masi,10/18/25,13:29,2,Foraging,Digging and looking for scents; one gray morph
B,Turdus migratorius,D2_IMG_0086,D2,10,Paige Masi,10/18/25,13:04,1,Resting,
B,Sciurus carolinensis,D2_IMG_0085,D2,10,Paige Masi,10/18/25,12:45,1,Walking,Gray morph
B,Didelphis virginiana,D2_IMG_0083,D2,10,Paige Masi,10/18/25,3:20,1,Foraging,Sniffing ground
B,Odocoileus virginianus,D2_IMG_0082,D2,9,Paige Masi,10/17/25,18:07,1,Walking,
B,Sciurus carolinensis,D2_IMG_0081,D2,9,Paige Masi,10/17/25,13:37,2,Running,Chasing after each other 
B,Sciurus carolinensis,D2_IMG_0080,D2,9,Paige Masi,10/17/25,12:23,1,Walking,
B,Sciurus carolinensis,D2_IMG_0079,D2,9,Paige Masi,10/17/25,8:54,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0078,D2,9,Paige Masi,10/17/25,8:02,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0077,D2,9,Paige Masi,10/17/25,7:29,1,Foraging,
B,Vulpes vulpes,D2_IMG_0076,D2,9,Paige Masi,10/17/25,0:29,1,Resting,Can only see tail 
B,Odocoileus virginianus,D2_IMG_0075,D2,8,Paige Masi,10/16/25,16:20,1,Walking,
B,Sciurus carolinensis,D2_IMG_0043,D2,6,Paige Masi,10/25/25,9:41,1,Foraging,
A,Odocoileus virginianus,D5_IMG_0003,D5,0,Hannah Floyd,10/8/25,18:24,1,Foraging,
A,Odocoileus virginianus,D5_IMG_0004,D5,1,Hannah Floyd,10/9/25,0:45,1,Walking,
A,Odocoileus virginianus,D5_IMG_0005,D5,1,Hannah Floyd,10/9/25,6:20,1,Walking,
A,Odocoileus virginianus,D5_IMG_0006,D5,1,Hannah Floyd,10/9/25,6:27,1,Foraging,
A,Odocoileus virginianus,D5_IMG_0007,D5,1,Hannah Floyd,10/9/25,6:34,2,Vigilant,There were 2 deer; 1 (without antlers) ran away in the very beginning; 1 (with antlers) emerged and was very vigilant throughout
A,Odocoileus virginianus,D5_IMG_0008,D5,1,Hannah Floyd,10/9/25,7:09,1,Walking,
A,Odocoileus virginianus,D5_IMG_0009,D5,1,Hannah Floyd,10/9/25,7:57,1,Walking,
A,Odocoileus virginianus,D5_IMG_0010,D5,1,Hannah Floyd,10/9/25,14:01,1,Walking,
A,Odocoileus virginianus,D5_IMG_0011,D5,1,Hannah Floyd,10/9/25,19:22,1,Walking,
A,Odocoileus virginianus,D5_IMG_0012,D5,2,Hannah Floyd,10/10/25,18:09,1,Walking,
A,Odocoileus virginianus,D5_IMG_0013,D5,3,Hannah Floyd,10/11/25,6:35,1,Walking,
A,Odocoileus virginianus,D5_IMG_0014,D5,3,Hannah Floyd,10/11/25,7:15,1,Vigilant,
A,Odocoileus virginianus,D5_IMG_0015,D5,3,Hannah Floyd,10/11/25,8:58,2,Foraging,
A,Odocoileus virginianus,D5_IMG_0016,D5,3,Hannah Floyd,10/11/25,9:00,2,Foraging,
A,Odocoileus virginianus,D5_IMG_0017,D5,4,Hannah Floyd,10/12/25,7:38,2,Running,"first one running, second one walking"
A,Odocoileus virginianus,D5_IMG_0018,D5,4,Hannah Floyd,10/12/25,7:40,1,Walking,
A,Odocoileus virginianus,D5_IMG_0019,D5,4,Hannah Floyd,10/12/25,13:29,1,Walking,
A,Odocoileus virginianus,D5_IMG_0020,D5,5,Hannah Floyd,10/13/25,8:39,3,Walking,
A,Odocoileus virginianus,D5_IMG_0021,D5,5,Hannah Floyd,10/13/25,13:25,1,Walking,
A,Odocoileus virginianus,D5_IMG_0022,D5,5,Hannah Floyd,10/13/25,14:42,2,Walking,second one ran by briefly
A,Odocoileus virginianus,D5_IMG_0023,D5,6,Hannah Floyd,10/14/25,7:26,1,Walking,
A,Odocoileus virginianus,D5_IMG_0024,D5,6,Hannah Floyd,10/14/25,11:07,1,Running,
A,Odocoileus virginianus,D5_IMG_0025,D5,7,Hannah Floyd,10/15/25,12:39,1,Walking,
A,Odocoileus virginianus,D5_IMG_0026,D5,10,Hannah Floyd,10/18/25,8:14,1,Running,
A,Odocoileus virginianus,D5_IMG_0027,D5,10,Hannah Floyd,10/18/25,13:27,2,Running,
A,Odocoileus virginianus,D5_IMG_0028,D5,11,Hannah Floyd,10/19/25,15:09,1,Walking,
A,Odocoileus virginianus,D5_IMG_0029,D5,11,Hannah Floyd,10/19/25,18:32,1,Walking,
A,Odocoileus virginianus,E6_IMG_0002,E6,0,Alex Gayer,10/7/25,17:36,1,Walking,
